id,sensor,value,event_date
232,sensor_12,22.01,2026-04-27
233,sensor_13,97.3,2026-04-27
234,sensor_14,81.65,2026-04-27
235,sensor_15,50.67,2026-04-27
236,sensor_16,60.71,2026-04-27
237,sensor_17,50.36,2026-04-27
238,sensor_18,7.79,2026-04-27
239,sensor_19,64.06,2026-04-27
240,sensor_00,34.46,2026-04-27
241,sensor_01,58.3,2026-04-27
242,sensor_02,36.05,2026-04-27
243,sensor_03,81.71,2026-04-27
244,sensor_04,62.09,2026-04-27
245,sensor_05,78.74,2026-04-27
246,sensor_06,81.2,2026-04-27
247,sensor_07,69.63,2026-04-27
248,sensor_08,94.0,2026-04-27
249,sensor_09,31.84,2026-04-27
250,sensor_10,,2026-04-27
251,sensor_11,26.33,2026-04-27
252,sensor_12,83.07,2026-04-27
253,sensor_13,12.65,2026-04-27
254,sensor_14,17.37,2026-04-27
255,sensor_15,14.17,2026-04-27
256,sensor_16,24.12,2026-04-27
257,sensor_17,88.05,2026-04-27
258,sensor_18,49.87,2026-04-27
259,sensor_19,85.53,2026-04-27
260,sensor_00,90.06,2026-04-27
261,sensor_01,63.49,2026-04-27
262,sensor_02,65.8,2026-04-27
263,sensor_03,62.69,2026-04-27
264,sensor_04,10.5,2026-04-27
265,sensor_05,72.6,2026-04-27
266,sensor_06,49.22,2026-04-27
267,sensor_07,58.33,2026-04-27
268,sensor_08,51.54,2026-04-27
269,sensor_09,40.91,2026-04-27
270,sensor_10,85.13,2026-04-27
271,sensor_11,5.86,2026-04-27
272,sensor_12,85.92,2026-04-27
273,sensor_13,33.5,2026-04-27
274,sensor_14,95.95,2026-04-27
275,sensor_15,43.27,2026-04-27
276,sensor_16,48.25,2026-04-27
277,sensor_17,2.59,2026-04-27
278,sensor_18,32.53,2026-04-27
279,sensor_19,68.92,2026-04-27
280,sensor_00,22.51,2026-04-27
281,sensor_01,22.26,2026-04-27
282,sensor_02,96.62,2026-04-27
283,sensor_03,94.54,2026-04-27
284,sensor_04,43.39,2026-04-27
285,sensor_05,38.26,2026-04-27
286,sensor_06,85.13,2026-04-27
287,sensor_07,75.2,2026-04-27
288,sensor_08,34.04,2026-04-27
289,sensor_09,19.73,2026-04-27
290,sensor_10,14.12,2026-04-27
291,sensor_11,55.81,2026-04-27
292,sensor_12,77.32,2026-04-27
293,sensor_13,58.31,2026-04-27
294,sensor_14,6.19,2026-04-27
295,sensor_15,20.14,2026-04-27
296,sensor_16,25.89,2026-04-27
297,sensor_17,24.35,2026-04-27
298,sensor_18,93.56,2026-04-27
299,sensor_19,73.05,2026-04-27
300,sensor_00,,2026-04-27
301,sensor_01,20.31,2026-04-27
302,sensor_02,16.37,2026-04-27
303,sensor_03,19.53,2026-04-27
304,sensor_04,13.61,2026-04-27
305,sensor_05,3.91,2026-04-27
306,sensor_06,61.03,2026-04-27
307,sensor_07,57.5,2026-04-27
308,sensor_08,52.53,2026-04-27
309,sensor_09,34.55,2026-04-27
310,sensor_10,98.4,2026-04-27
311,sensor_11,44.93,2026-04-27
312,sensor_12,67.06,2026-04-27
313,sensor_13,12.28,2026-04-27
314,sensor_14,67.12,2026-04-27
315,sensor_15,27.19,2026-04-27
316,sensor_16,25.91,2026-04-27
317,sensor_17,34.88,2026-04-27
318,sensor_18,43.36,2026-04-27
319,sensor_19,95.62,2026-04-27
320,sensor_00,30.87,2026-04-27
321,sensor_01,14.65,2026-04-27
322,sensor_02,42.96,2026-04-27
323,sensor_03,98.85,2026-04-27
324,sensor_04,25.71,2026-04-27
325,sensor_05,0.9,2026-04-27
326,sensor_06,13.92,2026-04-27
327,sensor_07,15.31,2026-04-27
328,sensor_08,46.15,2026-04-27
329,sensor_09,53.58,2026-04-27
330,sensor_10,65.76,2026-04-27
331,sensor_11,57.09,2026-04-27
332,sensor_12,52.78,2026-04-27
333,sensor_13,80.26,2026-04-27
334,sensor_14,86.08,2026-04-27
335,sensor_15,2.32,2026-04-27
336,sensor_16,31.04,2026-04-27
337,sensor_17,84.86,2026-04-27
338,sensor_18,28.23,2026-04-27
339,sensor_19,88.98,2026-04-27
340,sensor_00,19.26,2026-04-27
341,sensor_01,69.35,2026-04-27
342,sensor_02,3.32,2026-04-27
343,sensor_03,40.71,2026-04-27
344,sensor_04,63.16,2026-04-27
345,sensor_05,16.02,2026-04-27
346,sensor_06,13.26,2026-04-27
347,sensor_07,7.69,2026-04-27
348,sensor_08,96.81,2026-04-27
349,sensor_09,55.38,2026-04-27
350,sensor_10,,2026-04-27
351,sensor_11,94.48,2026-04-27
352,sensor_12,19.28,2026-04-27
353,sensor_13,82.39,2026-04-27
354,sensor_14,26.1,2026-04-27
355,sensor_15,96.08,2026-04-27
356,sensor_16,54.61,2026-04-27
357,sensor_17,50.2,2026-04-27
358,sensor_18,51.33,2026-04-27
359,sensor_19,11.88,2026-04-27
360,sensor_00,3.29,2026-04-27
361,sensor_01,93.1,2026-04-27
362,sensor_02,3.86,2026-04-27
363,sensor_03,32.36,2026-04-27
364,sensor_04,70.86,2026-04-27
365,sensor_05,64.58,2026-04-27
366,sensor_06,81.02,2026-04-27
367,sensor_07,51.6,2026-04-27
368,sensor_08,48.57,2026-04-27
369,sensor_09,90.37,2026-04-27
370,sensor_10,74.13,2026-04-27
371,sensor_11,5.85,2026-04-27
372,sensor_12,11.76,2026-04-27
373,sensor_13,30.4,2026-04-27
374,sensor_14,32.01,2026-04-27
375,sensor_15,4.46,2026-04-27
376,sensor_16,13.5,2026-04-27
377,sensor_17,56.9,2026-04-27
378,sensor_18,66.07,2026-04-27
379,sensor_19,12.64,2026-04-27
380,sensor_00,16.06,2026-04-27
381,sensor_01,91.09,2026-04-27
382,sensor_02,73.18,2026-04-27
383,sensor_03,11.67,2026-04-27
384,sensor_04,44.86,2026-04-27
385,sensor_05,14.89,2026-04-27
386,sensor_06,80.74,2026-04-27
387,sensor_07,56.12,2026-04-27
388,sensor_08,37.8,2026-04-27
389,sensor_09,99.19,2026-04-27
390,sensor_10,33.08,2026-04-27
391,sensor_11,23.95,2026-04-27
392,sensor_12,96.61,2026-04-27
393,sensor_13,98.25,2026-04-27
394,sensor_14,81.25,2026-04-27
395,sensor_15,96.87,2026-04-27
396,sensor_16,86.6,2026-04-27
397,sensor_17,58.89,2026-04-27
398,sensor_18,21.73,2026-04-27
399,sensor_19,91.9,2026-04-27
400,sensor_00,,2026-04-27
401,sensor_01,6.39,2026-04-27
402,sensor_02,92.83,2026-04-27
403,sensor_03,26.68,2026-04-27
404,sensor_04,98.31,2026-04-27
405,sensor_05,5.8,2026-04-27
406,sensor_06,47.04,2026-04-27
407,sensor_07,7.82,2026-04-27
408,sensor_08,54.14,2026-04-27
409,sensor_09,77.19,2026-04-27
410,sensor_10,96.31,2026-04-27
411,sensor_11,65.52,2026-04-27
412,sensor_12,79.23,2026-04-27
413,sensor_13,58.79,2026-04-27
414,sensor_14,63.2,2026-04-27
415,sensor_15,27.83,2026-04-27
416,sensor_16,51.57,2026-04-27
417,sensor_17,19.56,2026-04-27
418,sensor_18,72.6,2026-04-27
419,sensor_19,65.09,2026-04-27
420,sensor_00,91.49,2026-04-27
421,sensor_01,37.1,2026-04-27
422,sensor_02,57.02,2026-04-27
423,sensor_03,91.51,2026-04-27
424,sensor_04,64.37,2026-04-27
425,sensor_05,48.4,2026-04-27
426,sensor_06,3.07,2026-04-27
427,sensor_07,89.67,2026-04-27
428,sensor_08,63.62,2026-04-27
429,sensor_09,56.56,2026-04-27
430,sensor_10,39.81,2026-04-27
431,sensor_11,34.09,2026-04-27
432,sensor_12,24.24,2026-04-27
433,sensor_13,23.01,2026-04-27
434,sensor_14,38.87,2026-04-27
435,sensor_15,74.02,2026-04-27
436,sensor_16,34.19,2026-04-27
437,sensor_17,94.66,2026-04-27
438,sensor_18,74.77,2026-04-27
439,sensor_19,96.14,2026-04-27
440,sensor_00,6.03,2026-04-27
441,sensor_01,18.49,2026-04-27
442,sensor_02,87.96,2026-04-27
443,sensor_03,39.05,2026-04-27
444,sensor_04,82.84,2026-04-27
445,sensor_05,99.4,2026-04-27
446,sensor_06,11.84,2026-04-27
447,sensor_07,10.29,2026-04-27
448,sensor_08,55.0,2026-04-27
449,sensor_09,42.19,2026-04-27
450,sensor_10,,2026-04-27
451,sensor_11,88.7,2026-04-27
452,sensor_12,88.68,2026-04-27
453,sensor_13,88.71,2026-04-27
454,sensor_14,84.16,2026-04-27
455,sensor_15,44.09,2026-04-27
456,sensor_16,40.38,2026-04-27
457,sensor_17,87.41,2026-04-27
458,sensor_18,13.63,2026-04-27
459,sensor_19,95.08,2026-04-27
460,sensor_00,56.93,2026-04-27
461,sensor_01,48.94,2026-04-27
462,sensor_02,21.04,2026-04-27
463,sensor_03,33.87,2026-04-27
464,sensor_04,36.72,2026-04-27
465,sensor_05,64.44,2026-04-27
466,sensor_06,2.56,2026-04-27
467,sensor_07,86.75,2026-04-27
468,sensor_08,31.13,2026-04-27
469,sensor_09,81.41,2026-04-27
470,sensor_10,34.85,2026-04-27
471,sensor_11,34.8,2026-04-27
472,sensor_12,13.45,2026-04-27
473,sensor_13,75.8,2026-04-27
474,sensor_14,2.93,2026-04-27
475,sensor_15,96.18,2026-04-27
476,sensor_16,39.72,2026-04-27
477,sensor_17,55.29,2026-04-27
478,sensor_18,77.6,2026-04-27
479,sensor_19,96.8,2026-04-27
480,sensor_00,72.58,2026-04-27
481,sensor_01,35.39,2026-04-27
482,sensor_02,93.57,2026-04-27
483,sensor_03,52.36,2026-04-27
484,sensor_04,92.24,2026-04-27
485,sensor_05,17.63,2026-04-27
486,sensor_06,83.52,2026-04-27
487,sensor_07,94.12,2026-04-27
488,sensor_08,70.88,2026-04-27
489,sensor_09,30.02,2026-04-27
490,sensor_10,8.16,2026-04-27
491,sensor_11,85.88,2026-04-27
492,sensor_12,37.39,2026-04-27
493,sensor_13,59.34,2026-04-27
494,sensor_14,83.63,2026-04-27
495,sensor_15,0.13,2026-04-27
496,sensor_16,84.71,2026-04-27
497,sensor_17,23.14,2026-04-27
498,sensor_18,49.53,2026-04-27
499,sensor_19,9.81,2026-04-27
