id,sensor,value,status,event_date
196,sensor_16,63.2,NORMAL,2026-04-27
197,sensor_17,30.04,NORMAL,2026-04-27
198,sensor_18,38.06,NORMAL,2026-04-27
199,sensor_19,58.16,NORMAL,2026-04-27
200,sensor_00,48.57,NORMAL,2026-04-27
201,sensor_01,57.35,NORMAL,2026-04-27
202,sensor_02,62.32,NORMAL,2026-04-27
203,sensor_03,8.56,NORMAL,2026-04-27
204,sensor_04,88.06,ALERT,2026-04-27
205,sensor_05,84.58,ALERT,2026-04-27
206,sensor_06,22.16,NORMAL,2026-04-27
207,sensor_07,84.2,ALERT,2026-04-27
208,sensor_08,85.07,ALERT,2026-04-27
209,sensor_09,9.31,NORMAL,2026-04-27
210,sensor_10,55.74,NORMAL,2026-04-27
211,sensor_11,87.16,ALERT,2026-04-27
212,sensor_12,66.26,NORMAL,2026-04-27
213,sensor_13,57.16,NORMAL,2026-04-27
214,sensor_14,7.67,NORMAL,2026-04-27
215,sensor_15,43.01,NORMAL,2026-04-27
216,sensor_16,83.24,ALERT,2026-04-27
217,sensor_17,18.62,NORMAL,2026-04-27
218,sensor_18,25.57,NORMAL,2026-04-27
219,sensor_19,48.75,NORMAL,2026-04-27
220,sensor_00,87.87,ALERT,2026-04-27
221,sensor_01,29.01,NORMAL,2026-04-27
222,sensor_02,79.76,NORMAL,2026-04-27
223,sensor_03,32.48,NORMAL,2026-04-27
224,sensor_04,78.57,NORMAL,2026-04-27
225,sensor_05,70.94,NORMAL,2026-04-27
226,sensor_06,86.46,ALERT,2026-04-27
227,sensor_07,22.5,NORMAL,2026-04-27
228,sensor_08,23.29,NORMAL,2026-04-27
229,sensor_09,90.19,ALERT,2026-04-27
230,sensor_10,49.25,NORMAL,2026-04-27
231,sensor_11,7.52,NORMAL,2026-04-27
232,sensor_12,22.01,NORMAL,2026-04-27
233,sensor_13,97.3,ALERT,2026-04-27
234,sensor_14,81.65,ALERT,2026-04-27
235,sensor_15,50.67,NORMAL,2026-04-27
236,sensor_16,60.71,NORMAL,2026-04-27
237,sensor_17,50.36,NORMAL,2026-04-27
238,sensor_18,7.79,NORMAL,2026-04-27
239,sensor_19,64.06,NORMAL,2026-04-27
240,sensor_00,34.46,NORMAL,2026-04-27
241,sensor_01,58.3,NORMAL,2026-04-27
242,sensor_02,36.05,NORMAL,2026-04-27
243,sensor_03,81.71,ALERT,2026-04-27
244,sensor_04,62.09,NORMAL,2026-04-27
245,sensor_05,78.74,NORMAL,2026-04-27
246,sensor_06,81.2,ALERT,2026-04-27
247,sensor_07,69.63,NORMAL,2026-04-27
248,sensor_08,94.0,ALERT,2026-04-27
249,sensor_09,31.84,NORMAL,2026-04-27
250,sensor_10,48.57,NORMAL,2026-04-27
251,sensor_11,26.33,NORMAL,2026-04-27
252,sensor_12,83.07,ALERT,2026-04-27
253,sensor_13,12.65,NORMAL,2026-04-27
254,sensor_14,17.37,NORMAL,2026-04-27
255,sensor_15,14.17,NORMAL,2026-04-27
256,sensor_16,24.12,NORMAL,2026-04-27
257,sensor_17,88.05,ALERT,2026-04-27
258,sensor_18,49.87,NORMAL,2026-04-27
259,sensor_19,85.53,ALERT,2026-04-27
260,sensor_00,90.06,ALERT,2026-04-27
261,sensor_01,63.49,NORMAL,2026-04-27
262,sensor_02,65.8,NORMAL,2026-04-27
263,sensor_03,62.69,NORMAL,2026-04-27
264,sensor_04,10.5,NORMAL,2026-04-27
265,sensor_05,72.6,NORMAL,2026-04-27
266,sensor_06,49.22,NORMAL,2026-04-27
267,sensor_07,58.33,NORMAL,2026-04-27
268,sensor_08,51.54,NORMAL,2026-04-27
269,sensor_09,40.91,NORMAL,2026-04-27
270,sensor_10,85.13,ALERT,2026-04-27
271,sensor_11,5.86,NORMAL,2026-04-27
272,sensor_12,85.92,ALERT,2026-04-27
273,sensor_13,33.5,NORMAL,2026-04-27
274,sensor_14,95.95,ALERT,2026-04-27
275,sensor_15,43.27,NORMAL,2026-04-27
276,sensor_16,48.25,NORMAL,2026-04-27
277,sensor_17,2.59,NORMAL,2026-04-27
278,sensor_18,32.53,NORMAL,2026-04-27
279,sensor_19,68.92,NORMAL,2026-04-27
280,sensor_00,22.51,NORMAL,2026-04-27
281,sensor_01,22.26,NORMAL,2026-04-27
282,sensor_02,96.62,ALERT,2026-04-27
283,sensor_03,94.54,ALERT,2026-04-27
284,sensor_04,43.39,NORMAL,2026-04-27
285,sensor_05,38.26,NORMAL,2026-04-27
286,sensor_06,85.13,ALERT,2026-04-27
287,sensor_07,75.2,NORMAL,2026-04-27
288,sensor_08,34.04,NORMAL,2026-04-27
289,sensor_09,19.73,NORMAL,2026-04-27
290,sensor_10,14.12,NORMAL,2026-04-27
291,sensor_11,55.81,NORMAL,2026-04-27
292,sensor_12,77.32,NORMAL,2026-04-27
293,sensor_13,58.31,NORMAL,2026-04-27
294,sensor_14,6.19,NORMAL,2026-04-27
295,sensor_15,20.14,NORMAL,2026-04-27
296,sensor_16,25.89,NORMAL,2026-04-27
297,sensor_17,24.35,NORMAL,2026-04-27
298,sensor_18,93.56,ALERT,2026-04-27
299,sensor_19,73.05,NORMAL,2026-04-27
300,sensor_00,48.57,NORMAL,2026-04-27
301,sensor_01,20.31,NORMAL,2026-04-27
302,sensor_02,16.37,NORMAL,2026-04-27
303,sensor_03,19.53,NORMAL,2026-04-27
304,sensor_04,13.61,NORMAL,2026-04-27
305,sensor_05,3.91,NORMAL,2026-04-27
306,sensor_06,61.03,NORMAL,2026-04-27
307,sensor_07,57.5,NORMAL,2026-04-27
308,sensor_08,52.53,NORMAL,2026-04-27
309,sensor_09,34.55,NORMAL,2026-04-27
310,sensor_10,98.4,ALERT,2026-04-27
311,sensor_11,44.93,NORMAL,2026-04-27
312,sensor_12,67.06,NORMAL,2026-04-27
313,sensor_13,12.28,NORMAL,2026-04-27
314,sensor_14,67.12,NORMAL,2026-04-27
315,sensor_15,27.19,NORMAL,2026-04-27
316,sensor_16,25.91,NORMAL,2026-04-27
317,sensor_17,34.88,NORMAL,2026-04-27
318,sensor_18,43.36,NORMAL,2026-04-27
319,sensor_19,95.62,ALERT,2026-04-27
320,sensor_00,30.87,NORMAL,2026-04-27
321,sensor_01,14.65,NORMAL,2026-04-27
322,sensor_02,42.96,NORMAL,2026-04-27
323,sensor_03,98.85,ALERT,2026-04-27
324,sensor_04,25.71,NORMAL,2026-04-27
325,sensor_05,0.9,NORMAL,2026-04-27
326,sensor_06,13.92,NORMAL,2026-04-27
327,sensor_07,15.31,NORMAL,2026-04-27
328,sensor_08,46.15,NORMAL,2026-04-27
329,sensor_09,53.58,NORMAL,2026-04-27
330,sensor_10,65.76,NORMAL,2026-04-27
331,sensor_11,57.09,NORMAL,2026-04-27
332,sensor_12,52.78,NORMAL,2026-04-27
333,sensor_13,80.26,ALERT,2026-04-27
334,sensor_14,86.08,ALERT,2026-04-27
335,sensor_15,2.32,NORMAL,2026-04-27
336,sensor_16,31.04,NORMAL,2026-04-27
337,sensor_17,84.86,ALERT,2026-04-27
338,sensor_18,28.23,NORMAL,2026-04-27
339,sensor_19,88.98,ALERT,2026-04-27
340,sensor_00,19.26,NORMAL,2026-04-27
341,sensor_01,69.35,NORMAL,2026-04-27
342,sensor_02,3.32,NORMAL,2026-04-27
343,sensor_03,40.71,NORMAL,2026-04-27
344,sensor_04,63.16,NORMAL,2026-04-27
345,sensor_05,16.02,NORMAL,2026-04-27
346,sensor_06,13.26,NORMAL,2026-04-27
347,sensor_07,7.69,NORMAL,2026-04-27
348,sensor_08,96.81,ALERT,2026-04-27
349,sensor_09,55.38,NORMAL,2026-04-27
350,sensor_10,48.57,NORMAL,2026-04-27
351,sensor_11,94.48,ALERT,2026-04-27
352,sensor_12,19.28,NORMAL,2026-04-27
353,sensor_13,82.39,ALERT,2026-04-27
354,sensor_14,26.1,NORMAL,2026-04-27
355,sensor_15,96.08,ALERT,2026-04-27
356,sensor_16,54.61,NORMAL,2026-04-27
357,sensor_17,50.2,NORMAL,2026-04-27
358,sensor_18,51.33,NORMAL,2026-04-27
359,sensor_19,11.88,NORMAL,2026-04-27
360,sensor_00,3.29,NORMAL,2026-04-27
361,sensor_01,93.1,ALERT,2026-04-27
362,sensor_02,3.86,NORMAL,2026-04-27
363,sensor_03,32.36,NORMAL,2026-04-27
364,sensor_04,70.86,NORMAL,2026-04-27
365,sensor_05,64.58,NORMAL,2026-04-27
366,sensor_06,81.02,ALERT,2026-04-27
367,sensor_07,51.6,NORMAL,2026-04-27
368,sensor_08,48.57,NORMAL,2026-04-27
369,sensor_09,90.37,ALERT,2026-04-27
370,sensor_10,74.13,NORMAL,2026-04-27
371,sensor_11,5.85,NORMAL,2026-04-27
372,sensor_12,11.76,NORMAL,2026-04-27
373,sensor_13,30.4,NORMAL,2026-04-27
374,sensor_14,32.01,NORMAL,2026-04-27
375,sensor_15,4.46,NORMAL,2026-04-27
376,sensor_16,13.5,NORMAL,2026-04-27
377,sensor_17,56.9,NORMAL,2026-04-27
378,sensor_18,66.07,NORMAL,2026-04-27
379,sensor_19,12.64,NORMAL,2026-04-27
380,sensor_00,16.06,NORMAL,2026-04-27
381,sensor_01,91.09,ALERT,2026-04-27
382,sensor_02,73.18,NORMAL,2026-04-27
383,sensor_03,11.67,NORMAL,2026-04-27
384,sensor_04,44.86,NORMAL,2026-04-27
385,sensor_05,14.89,NORMAL,2026-04-27
386,sensor_06,80.74,ALERT,2026-04-27
387,sensor_07,56.12,NORMAL,2026-04-27
388,sensor_08,37.8,NORMAL,2026-04-27
389,sensor_09,99.19,ALERT,2026-04-27
390,sensor_10,33.08,NORMAL,2026-04-27
391,sensor_11,23.95,NORMAL,2026-04-27
392,sensor_12,96.61,ALERT,2026-04-27
393,sensor_13,98.25,ALERT,2026-04-27
394,sensor_14,81.25,ALERT,2026-04-27
395,sensor_15,96.87,ALERT,2026-04-27
396,sensor_16,86.6,ALERT,2026-04-27
397,sensor_17,58.89,NORMAL,2026-04-27
398,sensor_18,21.73,NORMAL,2026-04-27
399,sensor_19,91.9,ALERT,2026-04-27
400,sensor_00,48.57,NORMAL,2026-04-27
401,sensor_01,6.39,NORMAL,2026-04-27
402,sensor_02,92.83,ALERT,2026-04-27
403,sensor_03,26.68,NORMAL,2026-04-27
404,sensor_04,98.31,ALERT,2026-04-27
405,sensor_05,5.8,NORMAL,2026-04-27
406,sensor_06,47.04,NORMAL,2026-04-27
407,sensor_07,7.82,NORMAL,2026-04-27
408,sensor_08,54.14,NORMAL,2026-04-27
409,sensor_09,77.19,NORMAL,2026-04-27
410,sensor_10,96.31,ALERT,2026-04-27
411,sensor_11,65.52,NORMAL,2026-04-27
412,sensor_12,79.23,NORMAL,2026-04-27
413,sensor_13,58.79,NORMAL,2026-04-27
414,sensor_14,63.2,NORMAL,2026-04-27
415,sensor_15,27.83,NORMAL,2026-04-27
416,sensor_16,51.57,NORMAL,2026-04-27
417,sensor_17,19.56,NORMAL,2026-04-27
418,sensor_18,72.6,NORMAL,2026-04-27
419,sensor_19,65.09,NORMAL,2026-04-27
420,sensor_00,91.49,ALERT,2026-04-27
421,sensor_01,37.1,NORMAL,2026-04-27
422,sensor_02,57.02,NORMAL,2026-04-27
423,sensor_03,91.51,ALERT,2026-04-27
424,sensor_04,64.37,NORMAL,2026-04-27
425,sensor_05,48.4,NORMAL,2026-04-27
426,sensor_06,3.07,NORMAL,2026-04-27
427,sensor_07,89.67,ALERT,2026-04-27
428,sensor_08,63.62,NORMAL,2026-04-27
429,sensor_09,56.56,NORMAL,2026-04-27
430,sensor_10,39.81,NORMAL,2026-04-27
431,sensor_11,34.09,NORMAL,2026-04-27
432,sensor_12,24.24,NORMAL,2026-04-27
433,sensor_13,23.01,NORMAL,2026-04-27
434,sensor_14,38.87,NORMAL,2026-04-27
435,sensor_15,74.02,NORMAL,2026-04-27
436,sensor_16,34.19,NORMAL,2026-04-27
437,sensor_17,94.66,ALERT,2026-04-27
438,sensor_18,74.77,NORMAL,2026-04-27
439,sensor_19,96.14,ALERT,2026-04-27
440,sensor_00,6.03,NORMAL,2026-04-27
441,sensor_01,18.49,NORMAL,2026-04-27
442,sensor_02,87.96,ALERT,2026-04-27
443,sensor_03,39.05,NORMAL,2026-04-27
444,sensor_04,82.84,ALERT,2026-04-27
445,sensor_05,99.4,ALERT,2026-04-27
446,sensor_06,11.84,NORMAL,2026-04-27
447,sensor_07,10.29,NORMAL,2026-04-27
448,sensor_08,55.0,NORMAL,2026-04-27
449,sensor_09,42.19,NORMAL,2026-04-27
450,sensor_10,48.57,NORMAL,2026-04-27
451,sensor_11,88.7,ALERT,2026-04-27
452,sensor_12,88.68,ALERT,2026-04-27
453,sensor_13,88.71,ALERT,2026-04-27
454,sensor_14,84.16,ALERT,2026-04-27
455,sensor_15,44.09,NORMAL,2026-04-27
456,sensor_16,40.38,NORMAL,2026-04-27
457,sensor_17,87.41,ALERT,2026-04-27
458,sensor_18,13.63,NORMAL,2026-04-27
459,sensor_19,95.08,ALERT,2026-04-27
460,sensor_00,56.93,NORMAL,2026-04-27
461,sensor_01,48.94,NORMAL,2026-04-27
462,sensor_02,21.04,NORMAL,2026-04-27
463,sensor_03,33.87,NORMAL,2026-04-27
464,sensor_04,36.72,NORMAL,2026-04-27
465,sensor_05,64.44,NORMAL,2026-04-27
466,sensor_06,2.56,NORMAL,2026-04-27
467,sensor_07,86.75,ALERT,2026-04-27
468,sensor_08,31.13,NORMAL,2026-04-27
469,sensor_09,81.41,ALERT,2026-04-27
470,sensor_10,34.85,NORMAL,2026-04-27
471,sensor_11,34.8,NORMAL,2026-04-27
472,sensor_12,13.45,NORMAL,2026-04-27
473,sensor_13,75.8,NORMAL,2026-04-27
474,sensor_14,2.93,NORMAL,2026-04-27
475,sensor_15,96.18,ALERT,2026-04-27
476,sensor_16,39.72,NORMAL,2026-04-27
477,sensor_17,55.29,NORMAL,2026-04-27
478,sensor_18,77.6,NORMAL,2026-04-27
479,sensor_19,96.8,ALERT,2026-04-27
480,sensor_00,72.58,NORMAL,2026-04-27
481,sensor_01,35.39,NORMAL,2026-04-27
482,sensor_02,93.57,ALERT,2026-04-27
483,sensor_03,52.36,NORMAL,2026-04-27
484,sensor_04,92.24,ALERT,2026-04-27
485,sensor_05,17.63,NORMAL,2026-04-27
486,sensor_06,83.52,ALERT,2026-04-27
487,sensor_07,94.12,ALERT,2026-04-27
488,sensor_08,70.88,NORMAL,2026-04-27
489,sensor_09,30.02,NORMAL,2026-04-27
490,sensor_10,8.16,NORMAL,2026-04-27
491,sensor_11,85.88,ALERT,2026-04-27
492,sensor_12,37.39,NORMAL,2026-04-27
493,sensor_13,59.34,NORMAL,2026-04-27
494,sensor_14,83.63,ALERT,2026-04-27
495,sensor_15,0.13,NORMAL,2026-04-27
496,sensor_16,84.71,ALERT,2026-04-27
497,sensor_17,23.14,NORMAL,2026-04-27
498,sensor_18,49.53,NORMAL,2026-04-27
499,sensor_19,9.81,NORMAL,2026-04-27
